[VAMS][2015-09-22 15:43:11,217] INFO | mina 服务器启动 ... 端口号为 : 9999 | [main] com.ds.mina.server.MinaServer.main(37)
[VAMS][2015-09-22 15:48:41,563] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:41,756] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:41,955] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:42,187] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:42,396] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:45,580] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:45,758] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:46,405] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:46,580] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:46,666] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:46,779] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:46,997] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:47,163] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
[VAMS][2015-09-22 15:48:47,259] DEBUG | Processing a MESSAGE_RECEIVED for session 5 | [NioProcessor-6] org.apache.mina.filter.codec.ProtocolCodecFilter.messageReceived(213)
